Category name,total questions,correct questions,Performance,Job Profile Name,User name,correctness
Version Control/Git,1,7,can't predict,Data Analyst,jefforson,700.0
Performance Tuning,3,4,can't predict,Data Analyst,robin,133.33
"APIs (RESTful, GraphQL)",9,6,Above Average,Cybersecurity Analyst,andrew,66.67
Critical Thinking,2,6,can't predict,Artificial Intelligence (AI) Engineer,andrew,300.0
Analytical Skills,10,2,Very Poor,Full Stack Developer,lara,20.0
Critical Thinking,5,2,Below Average,Database Administrator,john,40.0
Back-end Technologies,7,10,can't predict,Full Stack Developer,andrew,142.86
Statistical Knowledge,4,7,can't predict,Full Stack Developer,lara,175.0
Version Control/Git,2,4,can't predict,Full Stack Developer,robin,200.0
Risk Assessment and Management,1,0,Needs Improvement,Full Stack Developer,andrew,0.0
Domain Knowledge,9,8,Very Good,Artificial Intelligence (AI) Engineer,robin,88.89
"APIs (RESTful, GraphQL)",5,9,can't predict,Full Stack Developer,lara,180.0
Mathematics and Statistics.,6,0,Needs Improvement,Data Analyst,jefforson,0.0
Back-end Technologies,4,9,can't predict,Full Stack Developer,andrew,225.0
Cyber Threat Intelligence,5,2,Below Average,Database Administrator,andrew,40.0
Domain Knowledge,1,4,can't predict,Artificial Intelligence (AI) Engineer,andrew,400.0
Front-end Technologies,1,3,can't predict,Full Stack Developer,lara,300.0
Performance Tuning,10,10,Excellent,Data Analyst,john,100.0
Data Modeling and Design,6,5,Very Good,Full Stack Developer,lara,83.33
Web Development Tools,7,3,Below Average,Artificial Intelligence (AI) Engineer,robin,42.86
Deep Learning,7,7,Excellent,Artificial Intelligence (AI) Engineer,jefforson,100.0
Security Tools,8,2,Very Poor,Full Stack Developer,john,25.0
Programming skills,9,6,Above Average,Data Analyst,john,66.67
Database Management,4,1,Very Poor,Full Stack Developer,john,25.0
Security Policies and Compliance,2,2,Excellent,Database Administrator,john,100.0
Database Security,2,2,Excellent,Artificial Intelligence (AI) Engineer,andrew,100.0
Statistical Knowledge,2,4,can't predict,Data Analyst,jefforson,200.0
Security Tools,6,5,Very Good,Data Analyst,jefforson,83.33
Analytical Skills,2,4,can't predict,Full Stack Developer,robin,200.0
Natural Language Processing ,1,6,can't predict,Full Stack Developer,andrew,600.0
"APIs (RESTful, GraphQL)",7,4,Average,Cybersecurity Analyst,robin,57.14
Database Management Systems,10,7,Good,Cybersecurity Analyst,jefforson,70.0
Database Management,3,4,can't predict,Database Administrator,andrew,133.33
Critical Thinking,10,4,Below Average,Data Analyst,robin,40.0
Front-end Technologies,10,8,Very Good,Data Analyst,robin,80.0
Knowledge of Security Tools,3,6,can't predict,Artificial Intelligence (AI) Engineer,john,200.0
Database Knowledge,1,6,can't predict,Cybersecurity Analyst,jefforson,600.0
Cyber Threat Intelligence,2,3,can't predict,Data Analyst,robin,150.0
Programming skills,8,9,can't predict,Database Administrator,jefforson,112.5
Domain Knowledge,3,1,Poor,Full Stack Developer,john,33.33
Back-end Technologies,8,4,Average,Database Administrator,robin,50.0
Security Tools,9,1,Extremely Poor,Data Analyst,jefforson,11.11
Version Control/Git,10,9,Excellent,Artificial Intelligence (AI) Engineer,andrew,90.0
Web Development Tools,8,8,Excellent,Full Stack Developer,lara,100.0
Data Visualization,6,4,Above Average,Data Analyst,jefforson,66.67
Networking Skills,3,10,can't predict,Full Stack Developer,lara,333.33
"APIs (RESTful, GraphQL)",7,0,Needs Improvement,Database Administrator,andrew,0.0
Risk Assessment and Management,8,2,Very Poor,Artificial Intelligence (AI) Engineer,robin,25.0
Mathematics and Statistics.,5,8,can't predict,Artificial Intelligence (AI) Engineer,andrew,160.0
Programming skills,6,6,Excellent,Database Administrator,robin,100.0
Database Management,9,8,Very Good,Cybersecurity Analyst,andrew,88.89
Critical Thinking,8,6,Good,Data Analyst,andrew,75.0
Data Modeling and Design,4,7,can't predict,Cybersecurity Analyst,andrew,175.0
Analytical Skills,1,2,can't predict,Data Analyst,robin,200.0
Deep Learning,5,5,Excellent,Database Administrator,john,100.0
Statistical Knowledge,10,0,Needs Improvement,Full Stack Developer,john,0.0
Security Tools,4,0,Needs Improvement,Artificial Intelligence (AI) Engineer,john,0.0
Programming Skills,4,6,can't predict,Artificial Intelligence (AI) Engineer,andrew,150.0
Understanding of Security Tools,10,6,Above Average,Cybersecurity Analyst,robin,60.0
Knowledge of Security Tools,10,1,Extremely Poor,Artificial Intelligence (AI) Engineer,jefforson,10.0
Database Management,9,9,Excellent,Cybersecurity Analyst,robin,100.0
Risk Assessment and Management,6,10,can't predict,Cybersecurity Analyst,robin,166.67
Scripting and Automation,2,9,can't predict,Full Stack Developer,robin,450.0
Troubleshooting and Problem-Solving,5,2,Below Average,Artificial Intelligence (AI) Engineer,jefforson,40.0
Deep Learning,6,0,Needs Improvement,Data Analyst,jefforson,0.0
Problem-Solving Abilities,5,0,Needs Improvement,Data Analyst,lara,0.0
Data Visualization,6,5,Very Good,Database Administrator,robin,83.33
Front-end Technologies,7,6,Very Good,Data Analyst,andrew,85.71
Risk Assessment and Management,7,4,Average,Artificial Intelligence (AI) Engineer,andrew,57.14
Web Development Tools,2,7,can't predict,Full Stack Developer,lara,350.0
Problem-Solving Abilities,1,2,can't predict,Cybersecurity Analyst,john,200.0
Database Knowledge,7,0,Needs Improvement,Data Analyst,robin,0.0
Security Tools,4,9,can't predict,Full Stack Developer,jefforson,225.0
Attention to Detail,4,5,can't predict,Full Stack Developer,robin,125.0
Networking Skills,1,10,can't predict,Full Stack Developer,andrew,1000.0
Performance Tuning,7,8,can't predict,Cybersecurity Analyst,jefforson,114.29
SQL and Query Optimization,6,3,Average,Data Analyst,john,50.0
Statistical Knowledge,5,3,Above Average,Database Administrator,lara,60.0
Algorithm Development,1,3,can't predict,Data Analyst,jefforson,300.0
Cyber Threat Intelligence,5,2,Below Average,Data Analyst,robin,40.0
Programming Skills,8,5,Above Average,Full Stack Developer,john,62.5
Machine Learning,5,3,Above Average,Cybersecurity Analyst,robin,60.0
Web Development Tools,1,0,Needs Improvement,Artificial Intelligence (AI) Engineer,andrew,0.0
Database Knowledge,7,3,Below Average,Full Stack Developer,andrew,42.86
"APIs (RESTful, GraphQL)",3,9,can't predict,Artificial Intelligence (AI) Engineer,andrew,300.0
Data Handling,4,8,can't predict,Data Analyst,andrew,200.0
Web Development Tools,2,5,can't predict,Cybersecurity Analyst,robin,250.0
Understanding of Security Tools,3,4,can't predict,Full Stack Developer,jefforson,133.33
"APIs (RESTful, GraphQL)",5,9,can't predict,Cybersecurity Analyst,andrew,180.0
Cyber Threat Intelligence,2,4,can't predict,Data Analyst,lara,200.0
Data Visualization,3,0,Needs Improvement,Artificial Intelligence (AI) Engineer,lara,0.0
Understanding of Security Tools,10,2,Very Poor,Database Administrator,john,20.0
Machine Learning,4,1,Very Poor,Full Stack Developer,jefforson,25.0
Statistical Knowledge,9,1,Extremely Poor,Cybersecurity Analyst,jefforson,11.11
Understanding of Security Tools,4,8,can't predict,Data Analyst,john,200.0
Back-end Technologies,2,7,can't predict,Database Administrator,john,350.0
Understanding of Security Tools,7,0,Needs Improvement,Data Analyst,robin,0.0
Database Management,4,9,can't predict,Artificial Intelligence (AI) Engineer,andrew,225.0
Web Development Tools,1,3,can't predict,Data Analyst,andrew,300.0
Networking Skills,5,2,Below Average,Data Analyst,jefforson,40.0
Data Visualization,8,0,Needs Improvement,Data Analyst,jefforson,0.0
Programming Skills,2,4,can't predict,Data Analyst,lara,200.0
Domain Knowledge,5,5,Excellent,Cybersecurity Analyst,jefforson,100.0
Back-end Technologies,5,5,Excellent,Database Administrator,jefforson,100.0
Networking Skills,1,7,can't predict,Full Stack Developer,lara,700.0
Networking Skills,8,5,Above Average,Database Administrator,robin,62.5
Attention to Detail,7,9,can't predict,Database Administrator,jefforson,128.57
Analytical Skills,3,2,Above Average,Data Analyst,robin,66.67
Database Management,10,9,Excellent,Cybersecurity Analyst,jefforson,90.0
Domain Knowledge,7,6,Very Good,Full Stack Developer,robin,85.71
Domain Knowledge,7,9,can't predict,Full Stack Developer,andrew,128.57
Version Control/Git,6,7,can't predict,Full Stack Developer,jefforson,116.67
Programming skills,5,5,Excellent,Full Stack Developer,robin,100.0
Domain Knowledge,5,10,can't predict,Data Analyst,robin,200.0
Knowledge of Security Tools,1,2,can't predict,Database Administrator,john,200.0
Database Security,8,7,Very Good,Cybersecurity Analyst,jefforson,87.5
Data Modeling and Design,6,8,can't predict,Full Stack Developer,lara,133.33
Data Visualization,3,6,can't predict,Full Stack Developer,jefforson,200.0
Back-end Technologies,9,3,Poor,Data Analyst,john,33.33
Attention to Detail,2,9,can't predict,Data Analyst,jefforson,450.0
Domain Knowledge,6,5,Very Good,Artificial Intelligence (AI) Engineer,andrew,83.33
Web Development Tools,2,1,Average,Data Analyst,robin,50.0
Machine Learning,5,6,can't predict,Full Stack Developer,andrew,120.0
Programming Skills,2,10,can't predict,Artificial Intelligence (AI) Engineer,lara,500.0
Back-end Technologies,2,3,can't predict,Artificial Intelligence (AI) Engineer,andrew,150.0
Attention to Detail,8,8,Excellent,Data Analyst,lara,100.0
Front-end Technologies,7,1,Extremely Poor,Full Stack Developer,jefforson,14.29
Database Security,4,1,Very Poor,Full Stack Developer,robin,25.0
Security Policies and Compliance,5,4,Very Good,Full Stack Developer,john,80.0
Web Development Tools,1,0,Needs Improvement,Data Analyst,robin,0.0
Version Control/Git,5,2,Below Average,Artificial Intelligence (AI) Engineer,lara,40.0
Mathematics and Statistics.,1,3,can't predict,Full Stack Developer,andrew,300.0
Troubleshooting and Problem-Solving,5,10,can't predict,Data Analyst,john,200.0
"APIs (RESTful, GraphQL)",8,5,Above Average,Data Analyst,andrew,62.5
Data Handling,10,9,Excellent,Database Administrator,andrew,90.0
Understanding of Security Tools,10,7,Good,Full Stack Developer,andrew,70.0
Statistical Knowledge,5,7,can't predict,Data Analyst,john,140.0
Back-end Technologies,8,4,Average,Cybersecurity Analyst,andrew,50.0
Database Management,6,6,Excellent,Cybersecurity Analyst,andrew,100.0
Database Knowledge,2,1,Average,Artificial Intelligence (AI) Engineer,robin,50.0
Risk Assessment and Management,8,3,Poor,Database Administrator,andrew,37.5
Database Management Systems,10,9,Excellent,Cybersecurity Analyst,john,90.0
"APIs (RESTful, GraphQL)",3,9,can't predict,Data Analyst,john,300.0
Attention to Detail,6,2,Poor,Full Stack Developer,lara,33.33
"APIs (RESTful, GraphQL)",6,0,Needs Improvement,Database Administrator,john,0.0
"APIs (RESTful, GraphQL)",7,5,Good,Data Analyst,robin,71.43
Database Security,9,2,Very Poor,Data Analyst,lara,22.22
Programming skills,6,6,Excellent,Database Administrator,andrew,100.0
Database Management Systems,6,7,can't predict,Database Administrator,lara,116.67
Analytical Skills,7,9,can't predict,Full Stack Developer,robin,128.57
Algorithm Development,10,4,Below Average,Artificial Intelligence (AI) Engineer,jefforson,40.0
Mathematics and Statistics.,8,2,Very Poor,Full Stack Developer,jefforson,25.0
Programming Skills,9,5,Average,Artificial Intelligence (AI) Engineer,john,55.56
Mathematics and Statistics.,3,3,Excellent,Artificial Intelligence (AI) Engineer,lara,100.0
Critical Thinking,1,0,Needs Improvement,Cybersecurity Analyst,john,0.0
Domain Knowledge,6,4,Above Average,Data Analyst,robin,66.67
Database Management Systems,7,2,Very Poor,Data Analyst,jefforson,28.57
Version Control/Git,7,1,Extremely Poor,Database Administrator,jefforson,14.29
Database Security,6,0,Needs Improvement,Database Administrator,lara,0.0
Problem-Solving Abilities,5,7,can't predict,Data Analyst,jefforson,140.0
Web Development Tools,6,10,can't predict,Full Stack Developer,jefforson,166.67
Database Management,8,0,Needs Improvement,Data Analyst,john,0.0
Scripting and Automation,4,5,can't predict,Full Stack Developer,andrew,125.0
Database Knowledge,9,10,can't predict,Full Stack Developer,andrew,111.11
Front-end Technologies,1,2,can't predict,Full Stack Developer,lara,200.0
Backup and Recovery,8,9,can't predict,Data Analyst,andrew,112.5
Security Tools,3,7,can't predict,Data Analyst,john,233.33
Database Management,3,3,Excellent,Data Analyst,john,100.0
Backup and Recovery,7,5,Good,Data Analyst,andrew,71.43
Database Knowledge,4,5,can't predict,Data Analyst,robin,125.0
Web Development Tools,2,6,can't predict,Full Stack Developer,andrew,300.0
Programming Skills,6,9,can't predict,Full Stack Developer,jefforson,150.0
Programming Skills,7,3,Below Average,Data Analyst,robin,42.86
Programming Skills,7,2,Very Poor,Data Analyst,jefforson,28.57
Version Control/Git,5,10,can't predict,Artificial Intelligence (AI) Engineer,jefforson,200.0
Database Security,7,7,Excellent,Data Analyst,jefforson,100.0
Understanding of Security Tools,9,8,Very Good,Cybersecurity Analyst,jefforson,88.89
Web Development Tools,1,8,can't predict,Data Analyst,lara,800.0
Networking Skills,1,4,can't predict,Data Analyst,john,400.0
Web Development Tools,6,10,can't predict,Data Analyst,jefforson,166.67
Cyber Threat Intelligence,1,3,can't predict,Artificial Intelligence (AI) Engineer,jefforson,300.0
Domain Knowledge,4,0,Needs Improvement,Full Stack Developer,andrew,0.0
Analytical Skills,8,5,Above Average,Artificial Intelligence (AI) Engineer,robin,62.5
Back-end Technologies,5,6,can't predict,Full Stack Developer,robin,120.0
Machine Learning,2,10,can't predict,Database Administrator,john,500.0
Web Development Tools,5,4,Very Good,Cybersecurity Analyst,lara,80.0
Front-end Technologies,10,6,Above Average,Data Analyst,andrew,60.0
Performance Tuning,2,7,can't predict,Data Analyst,andrew,350.0
Algorithm Development,10,1,Extremely Poor,Artificial Intelligence (AI) Engineer,lara,10.0
Domain Knowledge,6,4,Above Average,Data Analyst,lara,66.67
Data Modeling and Design,6,3,Average,Artificial Intelligence (AI) Engineer,andrew,50.0
Attention to Detail,8,7,Very Good,Data Analyst,jefforson,87.5
Web Development Tools,9,5,Average,Data Analyst,john,55.56
Cyber Threat Intelligence,3,0,Needs Improvement,Artificial Intelligence (AI) Engineer,john,0.0
Database Management Systems,9,9,Excellent,Data Analyst,andrew,100.0
Database Knowledge,9,6,Above Average,Full Stack Developer,andrew,66.67
Back-end Technologies,9,9,Excellent,Database Administrator,andrew,100.0
Data Visualization,10,3,Poor,Database Administrator,jefforson,30.0
Performance Tuning,5,3,Above Average,Data Analyst,robin,60.0
Statistical Knowledge,8,8,Excellent,Database Administrator,andrew,100.0
Database Knowledge,2,2,Excellent,Data Analyst,robin,100.0
Database Knowledge,9,9,Excellent,Cybersecurity Analyst,robin,100.0
Algorithm Development,6,3,Average,Data Analyst,robin,50.0
Programming Skills,7,7,Excellent,Full Stack Developer,andrew,100.0
Database Security,7,10,can't predict,Data Analyst,jefforson,142.86
Machine Learning,9,8,Very Good,Database Administrator,jefforson,88.89
Programming Skills,5,0,Needs Improvement,Full Stack Developer,robin,0.0
Attention to Detail,3,2,Above Average,Cybersecurity Analyst,robin,66.67
Critical Thinking,8,3,Poor,Full Stack Developer,andrew,37.5
Networking Skills,10,9,Excellent,Cybersecurity Analyst,john,90.0
Front-end Technologies,8,3,Poor,Cybersecurity Analyst,andrew,37.5
Data Visualization,8,0,Needs Improvement,Database Administrator,jefforson,0.0
Web Development Tools,5,5,Excellent,Full Stack Developer,jefforson,100.0
"APIs (RESTful, GraphQL)",6,0,Needs Improvement,Cybersecurity Analyst,robin,0.0
Data Visualization,7,8,can't predict,Data Analyst,jefforson,114.29
Domain Knowledge,5,3,Above Average,Data Analyst,jefforson,60.0
Understanding of Security Tools,3,3,Excellent,Data Analyst,andrew,100.0
Networking Skills,6,1,Extremely Poor,Full Stack Developer,jefforson,16.67
Problem-Solving Abilities,1,9,can't predict,Data Analyst,andrew,900.0
Performance Tuning,5,8,can't predict,Full Stack Developer,jefforson,160.0
Back-end Technologies,2,2,Excellent,Full Stack Developer,andrew,100.0
Web Development Tools,3,0,Needs Improvement,Cybersecurity Analyst,andrew,0.0
Data Visualization,5,2,Below Average,Data Analyst,lara,40.0
Critical Thinking,10,6,Above Average,Full Stack Developer,jefforson,60.0
Database Security,5,2,Below Average,Artificial Intelligence (AI) Engineer,jefforson,40.0
Web Development Tools,7,5,Good,Data Analyst,jefforson,71.43
Front-end Technologies,2,2,Excellent,Full Stack Developer,lara,100.0
Performance Tuning,3,6,can't predict,Full Stack Developer,lara,200.0
Web Development Tools,10,7,Good,Database Administrator,jefforson,70.0
Database Management,8,1,Extremely Poor,Artificial Intelligence (AI) Engineer,robin,12.5
Back-end Technologies,10,2,Very Poor,Cybersecurity Analyst,andrew,20.0
Data Modeling and Design,4,7,can't predict,Full Stack Developer,andrew,175.0
Front-end Technologies,8,10,can't predict,Data Analyst,robin,125.0
Analytical Skills,9,6,Above Average,Database Administrator,robin,66.67
Data Visualization,6,0,Needs Improvement,Cybersecurity Analyst,robin,0.0
Back-end Technologies,2,3,can't predict,Cybersecurity Analyst,robin,150.0
Cyber Threat Intelligence,3,1,Poor,Artificial Intelligence (AI) Engineer,jefforson,33.33
Web Development Tools,7,5,Good,Artificial Intelligence (AI) Engineer,andrew,71.43
Networking Skills,7,1,Extremely Poor,Data Analyst,robin,14.29
Risk Assessment and Management,3,0,Needs Improvement,Cybersecurity Analyst,robin,0.0
Statistical Knowledge,5,0,Needs Improvement,Full Stack Developer,andrew,0.0
Problem-Solving Abilities,9,8,Very Good,Data Analyst,jefforson,88.89
Database Management,7,5,Good,Cybersecurity Analyst,robin,71.43
Version Control/Git,10,0,Needs Improvement,Cybersecurity Analyst,jefforson,0.0
Analytical Skills,5,10,can't predict,Data Analyst,lara,200.0
Deep Learning,6,5,Very Good,Full Stack Developer,andrew,83.33
Attention to Detail,5,0,Needs Improvement,Full Stack Developer,lara,0.0
Web Development Tools,3,9,can't predict,Database Administrator,lara,300.0
Database Knowledge,3,8,can't predict,Data Analyst,andrew,266.67
Data Handling,2,1,Average,Data Analyst,jefforson,50.0
Data Visualization,2,8,can't predict,Artificial Intelligence (AI) Engineer,robin,400.0
Front-end Technologies,6,10,can't predict,Artificial Intelligence (AI) Engineer,john,166.67
Algorithm Development,5,10,can't predict,Database Administrator,jefforson,200.0
Risk Assessment and Management,5,5,Excellent,Full Stack Developer,robin,100.0
Critical Thinking,1,8,can't predict,Artificial Intelligence (AI) Engineer,jefforson,800.0
Database Knowledge,5,10,can't predict,Data Analyst,john,200.0
"APIs (RESTful, GraphQL)",7,10,can't predict,Data Analyst,robin,142.86
"APIs (RESTful, GraphQL)",3,3,Excellent,Artificial Intelligence (AI) Engineer,lara,100.0
Database Management,9,1,Extremely Poor,Data Analyst,lara,11.11
Attention to Detail,1,1,Excellent,Full Stack Developer,andrew,100.0
Domain Knowledge,5,6,can't predict,Artificial Intelligence (AI) Engineer,andrew,120.0
Critical Thinking,9,1,Extremely Poor,Artificial Intelligence (AI) Engineer,robin,11.11
Database Management,8,6,Good,Artificial Intelligence (AI) Engineer,jefforson,75.0
Database Management,1,7,can't predict,Data Analyst,andrew,700.0
Front-end Technologies,1,10,can't predict,Artificial Intelligence (AI) Engineer,jefforson,1000.0
Data Modeling and Design,10,6,Above Average,Data Analyst,robin,60.0
Mathematics and Statistics.,6,6,Excellent,Data Analyst,andrew,100.0
Networking Skills,1,4,can't predict,Full Stack Developer,jefforson,400.0
Web Development Tools,2,0,Needs Improvement,Data Analyst,andrew,0.0
Security Tools,4,7,can't predict,Cybersecurity Analyst,jefforson,175.0
Security Tools,10,4,Below Average,Database Administrator,lara,40.0
Version Control/Git,6,3,Average,Database Administrator,lara,50.0
Database Management Systems,2,5,can't predict,Artificial Intelligence (AI) Engineer,jefforson,250.0
Version Control/Git,6,7,can't predict,Full Stack Developer,andrew,116.67
Cyber Threat Intelligence,8,8,Excellent,Artificial Intelligence (AI) Engineer,lara,100.0
Mathematics and Statistics.,6,2,Poor,Data Analyst,jefforson,33.33
Security Policies and Compliance,5,6,can't predict,Data Analyst,andrew,120.0
Data Visualization,1,6,can't predict,Database Administrator,jefforson,600.0
Data Visualization,10,7,Good,Database Administrator,lara,70.0
Database Management,7,6,Very Good,Full Stack Developer,robin,85.71
Programming skills,4,0,Needs Improvement,Full Stack Developer,jefforson,0.0
Domain Knowledge,7,1,Extremely Poor,Artificial Intelligence (AI) Engineer,jefforson,14.29
Performance Tuning,8,0,Needs Improvement,Database Administrator,lara,0.0
Machine Learning,5,8,can't predict,Data Analyst,john,160.0
Knowledge of Security Tools,5,10,can't predict,Cybersecurity Analyst,jefforson,200.0
Domain Knowledge,1,9,can't predict,Cybersecurity Analyst,andrew,900.0
Security Tools,3,8,can't predict,Full Stack Developer,jefforson,266.67
Natural Language Processing ,7,6,Very Good,Data Analyst,jefforson,85.71
Networking Skills,9,5,Average,Artificial Intelligence (AI) Engineer,robin,55.56
Statistical Knowledge,1,4,can't predict,Database Administrator,robin,400.0
Front-end Technologies,1,0,Needs Improvement,Database Administrator,robin,0.0
Attention to Detail,4,7,can't predict,Data Analyst,john,175.0
Back-end Technologies,10,2,Very Poor,Database Administrator,andrew,20.0
Web Development Tools,6,10,can't predict,Full Stack Developer,john,166.67
Programming Skills,8,0,Needs Improvement,Database Administrator,robin,0.0
Domain Knowledge,10,4,Below Average,Cybersecurity Analyst,lara,40.0
Machine Learning,1,8,can't predict,Full Stack Developer,jefforson,800.0
Machine Learning,8,6,Good,Database Administrator,andrew,75.0
Deep Learning,1,7,can't predict,Database Administrator,lara,700.0
Web Development Tools,3,5,can't predict,Database Administrator,john,166.67
Database Security,8,3,Poor,Artificial Intelligence (AI) Engineer,andrew,37.5
Database Knowledge,9,6,Above Average,Full Stack Developer,lara,66.67
Database Management Systems,7,3,Below Average,Full Stack Developer,john,42.86
Domain Knowledge,9,6,Above Average,Data Analyst,lara,66.67
Analytical Skills,4,0,Needs Improvement,Cybersecurity Analyst,lara,0.0
Critical Thinking,3,0,Needs Improvement,Cybersecurity Analyst,andrew,0.0
Data Visualization,4,2,Average,Data Analyst,robin,50.0
Risk Assessment and Management,8,0,Needs Improvement,Full Stack Developer,jefforson,0.0
Networking Skills,1,1,Excellent,Data Analyst,robin,100.0
Critical Thinking,5,3,Above Average,Data Analyst,lara,60.0
Security Policies and Compliance,7,8,can't predict,Data Analyst,jefforson,114.29
Problem-Solving Abilities,6,5,Very Good,Data Analyst,john,83.33
SQL and Query Optimization,9,4,Below Average,Cybersecurity Analyst,andrew,44.44
Database Management,8,7,Very Good,Database Administrator,andrew,87.5
Web Development Tools,6,0,Needs Improvement,Cybersecurity Analyst,robin,0.0
Front-end Technologies,5,4,Very Good,Full Stack Developer,john,80.0
"APIs (RESTful, GraphQL)",3,3,Excellent,Database Administrator,lara,100.0
Troubleshooting and Problem-Solving,6,0,Needs Improvement,Database Administrator,lara,0.0
Domain Knowledge,2,4,can't predict,Database Administrator,jefforson,200.0
"APIs (RESTful, GraphQL)",5,8,can't predict,Data Analyst,lara,160.0
Analytical Skills,9,1,Extremely Poor,Artificial Intelligence (AI) Engineer,robin,11.11
Performance Tuning,5,5,Excellent,Artificial Intelligence (AI) Engineer,jefforson,100.0
Backup and Recovery,6,8,can't predict,Data Analyst,robin,133.33
Data Modeling and Design,9,7,Good,Data Analyst,andrew,77.78
Security Tools,9,4,Below Average,Data Analyst,andrew,44.44
Backup and Recovery,8,5,Above Average,Data Analyst,john,62.5
Web Development Tools,5,5,Excellent,Full Stack Developer,lara,100.0
Domain Knowledge,3,2,Above Average,Data Analyst,robin,66.67
Version Control/Git,8,0,Needs Improvement,Data Analyst,lara,0.0
Security Policies and Compliance,6,2,Poor,Database Administrator,jefforson,33.33
Knowledge of Security Tools,9,2,Very Poor,Cybersecurity Analyst,robin,22.22
Networking Skills,10,0,Needs Improvement,Full Stack Developer,andrew,0.0
Knowledge of Security Tools,3,6,can't predict,Cybersecurity Analyst,andrew,200.0
Scripting and Automation,1,6,can't predict,Artificial Intelligence (AI) Engineer,andrew,600.0
Natural Language Processing ,8,8,Excellent,Cybersecurity Analyst,jefforson,100.0
Web Development Tools,10,8,Very Good,Artificial Intelligence (AI) Engineer,jefforson,80.0
Version Control/Git,7,9,can't predict,Cybersecurity Analyst,lara,128.57
Database Management,3,6,can't predict,Artificial Intelligence (AI) Engineer,john,200.0
Risk Assessment and Management,5,4,Very Good,Data Analyst,lara,80.0
Algorithm Development,1,6,can't predict,Data Analyst,john,600.0
Risk Assessment and Management,3,6,can't predict,Full Stack Developer,andrew,200.0
Web Development Tools,3,9,can't predict,Artificial Intelligence (AI) Engineer,andrew,300.0
Web Development Tools,3,3,Excellent,Database Administrator,andrew,100.0
Database Management,2,9,can't predict,Full Stack Developer,lara,450.0
Version Control/Git,7,8,can't predict,Data Analyst,lara,114.29
Risk Assessment and Management,9,7,Good,Database Administrator,john,77.78
Risk Assessment and Management,2,8,can't predict,Data Analyst,jefforson,400.0
Understanding of Security Tools,1,9,can't predict,Data Analyst,robin,900.0
Cyber Threat Intelligence,6,1,Extremely Poor,Database Administrator,robin,16.67
Domain Knowledge,10,10,Excellent,Artificial Intelligence (AI) Engineer,robin,100.0
Version Control/Git,2,10,can't predict,Data Analyst,jefforson,500.0
"APIs (RESTful, GraphQL)",4,4,Excellent,Full Stack Developer,robin,100.0
Mathematics and Statistics.,5,7,can't predict,Database Administrator,lara,140.0
Attention to Detail,5,10,can't predict,Data Analyst,lara,200.0
Statistical Knowledge,1,6,can't predict,Cybersecurity Analyst,andrew,600.0
Performance Tuning,3,2,Above Average,Artificial Intelligence (AI) Engineer,john,66.67
Performance Tuning,4,5,can't predict,Database Administrator,jefforson,125.0
Back-end Technologies,8,4,Average,Data Analyst,andrew,50.0
Web Development Tools,7,8,can't predict,Database Administrator,andrew,114.29
Problem-Solving Abilities,10,2,Very Poor,Cybersecurity Analyst,jefforson,20.0
Cyber Threat Intelligence,7,2,Very Poor,Full Stack Developer,john,28.57
Database Security,7,3,Below Average,Database Administrator,john,42.86
Data Visualization,10,0,Needs Improvement,Database Administrator,robin,0.0
Performance Tuning,10,8,Very Good,Data Analyst,jefforson,80.0
Critical Thinking,10,1,Extremely Poor,Data Analyst,andrew,10.0
Database Management,4,6,can't predict,Database Administrator,andrew,150.0
Back-end Technologies,3,9,can't predict,Cybersecurity Analyst,lara,300.0
Knowledge of Security Tools,2,10,can't predict,Data Analyst,robin,500.0
Critical Thinking,6,2,Poor,Data Analyst,john,33.33
Security Tools,9,7,Good,Full Stack Developer,andrew,77.78
Risk Assessment and Management,8,3,Poor,Artificial Intelligence (AI) Engineer,andrew,37.5
Statistical Knowledge,1,6,can't predict,Full Stack Developer,robin,600.0
Front-end Technologies,10,5,Average,Full Stack Developer,jefforson,50.0
Domain Knowledge,3,8,can't predict,Data Analyst,robin,266.67
Data Visualization,8,9,can't predict,Data Analyst,lara,112.5
Risk Assessment and Management,8,1,Extremely Poor,Full Stack Developer,jefforson,12.5
Algorithm Development,3,5,can't predict,Database Administrator,john,166.67
Backup and Recovery,1,4,can't predict,Database Administrator,andrew,400.0
Programming Skills,5,5,Excellent,Full Stack Developer,lara,100.0
Database Management,4,2,Average,Database Administrator,robin,50.0
Database Knowledge,1,8,can't predict,Data Analyst,andrew,800.0
Data Handling,10,1,Extremely Poor,Data Analyst,andrew,10.0
Algorithm Development,8,5,Above Average,Artificial Intelligence (AI) Engineer,jefforson,62.5
SQL and Query Optimization,4,4,Excellent,Database Administrator,jefforson,100.0
Networking Skills,7,3,Below Average,Cybersecurity Analyst,jefforson,42.86
Programming Skills,2,0,Needs Improvement,Data Analyst,jefforson,0.0
Attention to Detail,5,5,Excellent,Data Analyst,john,100.0
Database Management Systems,1,0,Needs Improvement,Data Analyst,jefforson,0.0
Attention to Detail,3,2,Above Average,Data Analyst,lara,66.67
Backup and Recovery,9,4,Below Average,Full Stack Developer,robin,44.44
Database Management,10,6,Above Average,Database Administrator,andrew,60.0
Networking Skills,8,3,Poor,Data Analyst,jefforson,37.5
Attention to Detail,10,10,Excellent,Database Administrator,robin,100.0
